날짜,시군구명,발생건수(건),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023-05-01,종로구,120,0.0123,0.045,0.38,0.0026,41.0,16.0
2023-05-01,중구,139,0.0146,0.0428,0.35,0.0028,36.0,15.0
2023-05-01,용산구,215,0.0155,0.0444,0.39,0.003,43.0,18.0
2023-05-01,성동구,297,0.0158,0.0431,0.31,0.0023,41.0,15.0
2023-05-01,광진구,404,0.0152,0.04,0.29,0.0024,41.0,15.0
2023-05-01,동대문구,427,0.0126,0.0446,0.36,0.003,43.0,16.0
2023-05-01,중랑구,482,0.0145,0.0419,0.33,0.0022,41.0,17.0
2023-05-01,성북구,423,0.015,0.0413,0.36,0.0024,48.0,17.0
2023-05-01,강북구,261,0.0094,0.0443,0.38,0.0022,41.0,14.0
2023-05-01,도봉구,289,0.0098,0.036,0.36968151147098516,0.0031,53.0,23.0
2023-05-01,노원구,491,0.014,0.0393,0.39,0.0026,41.0,18.0
2023-05-01,은평구,611,0.0087,0.0427,0.46,0.0023,44.0,20.0
2023-05-01,서대문구,333,0.0074,0.0449,0.3,0.0032,42.0,15.0
2023-05-01,마포구,300,0.0158,0.0414,0.36,0.0027,37.0,18.0
2023-05-01,양천구,459,0.0156,0.0364,0.38,0.0028,40.0,15.0
2023-05-01,강서구,553,0.0153,0.0434,0.36,0.0026,47.0,16.0
2023-05-01,구로구,417,0.0126,0.0355,0.3,0.0029,46.0,18.0
2023-05-01,금천구,181,0.0118,0.0408,0.37,0.0029,38.0,17.0
2023-05-01,영등포구,417,0.016,0.0394,0.34,0.0026,37.0,12.0
2023-05-01,동작구,431,0.0124,0.0464,0.3,0.0023,38.0,15.0
2023-05-01,관악구,477,0.0105,0.03826241134751773,0.45,0.0021,72.0,25.0
2023-05-01,서초구,383,0.0124,0.0377,0.33,0.002,41.0,17.0
2023-05-01,강남구,482,0.0161,0.0444,0.32,0.003,40.0,16.0
2023-05-01,송파구,659,0.0163,0.0436,0.37,0.0023,44.0,17.0
2023-05-01,강동구,471,0.0139,0.0365,0.31,0.0024,42.0,16.0
2023-05-02,종로구,181,0.0263,0.0374,0.48,0.0031,28.0,11.0
2023-05-02,중구,168,0.0283,0.0356,0.39,0.003,26.0,12.0
2023-05-02,용산구,267,0.0297,0.0346,0.43,0.0034,34.0,16.0
2023-05-02,성동구,492,0.0284,0.0347,0.35,0.003,31.0,11.0
2023-05-02,광진구,492,0.0242,0.0342,0.27,0.0026,29.0,11.0
2023-05-02,동대문구,500,0.0245,0.0386,0.4,0.0032,31.0,11.0
2023-05-02,중랑구,561,0.0215,0.0384,0.33,0.0025,28.0,13.0
2023-05-02,성북구,513,0.0268,0.0349,0.4,0.0026,31.0,10.0
2023-05-02,강북구,353,0.0147,0.0465,0.39,0.0024,29.0,10.0
2023-05-02,도봉구,366,0.0168,0.0439,0.45,0.0027,25.0,11.0
2023-05-02,노원구,640,0.0233,0.0384,0.4,0.003,29.0,14.0
2023-05-02,은평구,777,0.0146,0.046,0.41,0.0025,29.0,10.0
2023-05-02,서대문구,434,0.009,0.032,0.35,0.004,17.0,7.0
2023-05-02,마포구,444,0.0272,0.0375,0.41,0.0032,29.0,14.0
2023-05-02,양천구,502,0.0281,0.0317,0.43,0.003,31.0,13.0
2023-05-02,강서구,705,0.0273,0.0394,0.43,0.0027,37.0,12.0
2023-05-02,구로구,523,0.0303,0.0136,0.38,0.003,33.0,12.0
2023-05-02,금천구,355,0.0196,0.0378,0.41,0.0032,26.0,13.0
2023-05-02,영등포구,460,0.0334,0.0314,0.41,0.0029,31.0,10.0
2023-05-02,동작구,580,0.0267,0.0362,0.37,0.0028,29.0,12.0
2023-05-02,관악구,734,0.031,0.03826241134751773,0.47,0.0033,33.0,15.0
2023-05-02,서초구,494,0.0365,0.0103,0.41,0.0021,34.0,12.0
2023-05-02,강남구,634,0.0325,0.018,0.36,0.0031,28.0,12.0
2023-05-02,송파구,852,0.0392,0.0218,0.44,0.0027,35.0,15.0
2023-05-02,강동구,583,0.0241,0.0303,0.33,0.0026,30.0,14.0
2023-05-03,종로구,139,0.0234,0.0422,0.49,0.0035,38.0,16.0
2023-05-03,중구,136,0.0244,0.0423,0.4,0.0033,32.0,17.0
2023-05-03,용산구,203,0.0267,0.0416,0.44,0.0039,43.0,20.0
2023-05-03,성동구,341,0.0261,0.0385,0.36,0.0033,38.0,17.0
2023-05-03,광진구,424,0.0225,0.0394,0.26,0.0029,37.0,15.0
2023-05-03,동대문구,407,0.0245,0.0417,0.41,0.0037,41.0,16.0
2023-05-03,중랑구,421,0.0191,0.0456,0.33,0.0028,36.0,17.0
2023-05-03,성북구,462,0.0236,0.0413,0.39,0.0029,41.0,16.0
2023-05-03,강북구,300,0.018,0.0434,0.41,0.0026,33.0,15.0
2023-05-03,도봉구,294,0.0157,0.0469,0.56,0.0032,36.0,16.0
2023-05-03,노원구,507,0.0189,0.0464,0.38,0.0033,36.0,18.0
2023-05-03,은평구,615,0.0132,0.0444,0.5,0.0025,36.0,14.0
2023-05-03,서대문구,320,0.0107,0.0483,0.34,0.0034,35.0,12.0
2023-05-03,마포구,370,0.0275,0.0385,0.45,0.0037,41.0,20.0
2023-05-03,양천구,442,0.0275,0.0347,0.46,0.0036,41.0,18.0
2023-05-03,강서구,609,0.0519,0.0077,0.59,0.003,49.0,20.0
2023-05-03,구로구,397,0.0217,0.035,0.35,0.0035,41.0,15.0
2023-05-03,금천구,287,0.0175,0.0442,0.38,0.0036,34.0,17.0
2023-05-03,영등포구,405,0.0321,0.035,0.45,0.0035,39.0,16.0
2023-05-03,동작구,449,0.0237,0.0417,0.39,0.0031,37.0,18.0
