감기_lag1,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
1540.0,0.0123,0.045,0.38,0.0026,41.0,16.0
2511.0,0.0146,0.0428,0.35,0.0028,36.0,15.0
4290.0,0.0155,0.0444,0.39,0.003,43.0,18.0
4759.0,0.0158,0.0431,0.31,0.0023,41.0,15.0
4249.0,0.0152,0.04,0.29,0.0024,41.0,15.0
4697.0,0.0126,0.0446,0.36,0.003,43.0,16.0
6141.0,0.0145,0.0419,0.33,0.0022,41.0,17.0
3433.0,0.015,0.0413,0.36,0.0024,48.0,17.0
3721.0,0.0094,0.0443,0.38,0.0022,41.0,14.0
7071.0,0.0098,0.036,0.36968151147098516,0.0031,53.0,23.0
6513.0,0.014,0.0393,0.39,0.0026,41.0,18.0
4008.0,0.0087,0.0427,0.46,0.0023,44.0,20.0
4883.0,0.0074,0.0449,0.3,0.0032,42.0,15.0
5790.0,0.0158,0.0414,0.36,0.0027,37.0,18.0
7770.0,0.0156,0.0364,0.38,0.0028,40.0,15.0
5895.0,0.0153,0.0434,0.36,0.0026,47.0,16.0
3093.0,0.0126,0.0355,0.3,0.0029,46.0,18.0
5828.0,0.0118,0.0408,0.37,0.0029,38.0,17.0
5092.0,0.016,0.0394,0.34,0.0026,37.0,12.0
5818.0,0.0124,0.0464,0.3,0.0023,38.0,15.0
5927.0,0.0105,0.03826241134751773,0.45,0.0021,72.0,25.0
7487.0,0.0124,0.0377,0.33,0.002,41.0,17.0
10268.0,0.0161,0.0444,0.32,0.003,40.0,16.0
7428.0,0.0163,0.0436,0.37,0.0023,44.0,17.0
1580.0,0.0139,0.0365,0.31,0.0024,42.0,16.0
1652.0,0.0263,0.0374,0.48,0.0031,28.0,11.0
2676.0,0.0283,0.0356,0.39,0.003,26.0,12.0
3845.0,0.0297,0.0346,0.43,0.0034,34.0,16.0
4121.0,0.0284,0.0347,0.35,0.003,31.0,11.0
4150.0,0.0242,0.0342,0.27,0.0026,29.0,11.0
4843.0,0.0245,0.0386,0.4,0.0032,31.0,11.0
5656.0,0.0215,0.0384,0.33,0.0025,28.0,13.0
3423.0,0.0268,0.0349,0.4,0.0026,31.0,10.0
3475.0,0.0147,0.0465,0.39,0.0024,29.0,10.0
6256.0,0.0168,0.0439,0.45,0.0027,25.0,11.0
6134.0,0.0233,0.0384,0.4,0.003,29.0,14.0
4124.0,0.0146,0.046,0.41,0.0025,29.0,10.0
