감기발생건수,천식발생건수,일교차
15143,433,7.3999999999999995
77261,2484,12.2
12458,253,7.3999999999999995
113350,4534,13.5
76541,3301,5.5
68116,3109,7.800000000000001
74415,2985,6.999999999999999
87762,3383,7.2
74227,2248,9.2
12320,299,12.4
118066,4282,8.8
82226,3215,5.6
73840,3098,10.7
85601,3152,12.0
99297,3601,10.5
81921,2446,13.9
15680,304,6.799999999999999
136730,4649,11.799999999999999
98432,3513,5.9
86973,3212,7.499999999999999
100034,3409,12.7
111721,3831,11.399999999999999
92090,2681,8.899999999999999
14481,313,12.899999999999999
136140,4459,7.8
100270,3647,9.2
85251,3111,11.799999999999999
93520,3194,4.3999999999999995
104861,3632,7.300000000000001
86723,2513,12.6
14949,316,14.299999999999999
139975,4825,13.5
100379,3574,16.9
87701,3353,5.799999999999999
92941,3344,7.9
106378,3940,8.600000000000001
84477,2557,10.899999999999999
14452,300,15.7
138516,4886,11.8
103997,3990,10.200000000000001
31508,717,8.3
113947,4018,9.400000000000002
104803,3905,12.2
79243,2581,16.1
13410,320,15.799999999999999
130994,4922,8.3
94128,3874,6.399999999999999
78561,3335,12.100000000000001
88644,3665,14.2
105365,4165,12.8
85525,2852,4.199999999999999
13861,330,8.399999999999999
129171,5001,9.100000000000001
92563,3831,11.0
82405,3429,5.5
88140,3550,10.5
97347,4051,14.6
77153,2684,14.7
12785,381,15.899999999999999
126824,4908,9.200000000000003
90337,3746,6.5
69501,2466,10.1
96249,3957,11.299999999999999
103327,4430,15.7
76825,2641,13.9
10971,230,4.900000000000002
32864,921,2.299999999999999
120389,4834,2.8000000000000007
76361,3430,12.399999999999999
81571,3407,10.9
97144,3761,11.3
78832,2631,8.0
12614,322,9.700000000000001
121041,4837,12.6
91919,3846,12.0
17839,359,11.600000000000001
108551,4118,12.9
97522,3959,14.099999999999998
70441,2419,10.5
12264,338,11.999999999999998
116103,4482,6.0
78083,3256,12.0
66947,3099,9.100000000000001
75675,3138,10.599999999999998
85723,3611,9.0
63673,2264,6.0
11149,319,6.699999999999999
110489,4499,8.500000000000002
78549,3469,11.8
68598,2969,11.4
79541,3230,8.400000000000002
85727,3471,8.5
65991,2477,7.699999999999999
12092,293,10.100000000000001
111200,4397,13.0
77136,3305,13.0
76393,3384,12.0
14921,308,12.099999999999998
106439,4313,9.7
54778,2023,7.100000000000001
10619,267,11.400000000000002
99712,4314,12.100000000000001
66238,3207,9.900000000000002
58747,2891,12.600000000000001
65474,2997,12.799999999999997
72435,3314,11.600000000000001
54896,2084,6.399999999999999
10122,252,9.600000000000001
96174,4149,11.3
55626,2514,12.5
61343,2874,14.399999999999999
64295,2942,12.0
71700,3180,11.0
52018,1914,3.5
9884,261,7.600000000000001
92180,4060,6.699999999999999
64953,3049,8.099999999999998
58086,2669,12.700000000000003
65975,2903,11.0
72655,3060,11.2
57537,2006,10.699999999999996
11179,237,2.8999999999999986
95592,4000,9.3
56907,2570,3.3000000000000007
60345,2913,2.299999999999997
65603,2813,7.400000000000002
73835,3257,4.800000000000001
58432,2077,7.899999999999999
11322,238,6.699999999999999
96039,3864,1.3999999999999986
69252,3072,4.0
61582,2741,8.400000000000002
71403,2950,5.599999999999998
80544,3245,8.399999999999999
62082,1962,9.799999999999997
11664,248,7.200000000000003
107224,3956,6.800000000000001
73614,2844,6.099999999999998
64201,2638,4.0
70672,2492,2.5
88231,3406,6.600000000000001
68607,2223,5.5
13627,265,7.300000000000001
111454,4117,3.599999999999998
79875,3226,1.5
70905,2800,4.899999999999999
79964,3115,6.800000000000004
88259,3322,7.5000000000000036
70012,2269,4.199999999999999
12843,231,4.900000000000002
118712,4061,1.0
84423,3122,5.599999999999998
76805,2754,6.299999999999997
82680,2729,5.900000000000002
91428,2952,4.300000000000001
65412,1788,7.0000000000000036
13701,247,8.900000000000002
129418,3979,6.800000000000004
88732,2947,7.899999999999999
81476,2754,6.199999999999999
90211,2912,4.700000000000003
98002,3305,8.0
73159,2028,7.200000000000003
13294,252,6.599999999999998
124905,3975,5.900000000000002
83523,2895,8.299999999999997
81529,2715,7.599999999999998
16517,330,7.900000000000002
114729,3731,7.4999999999999964
64209,1927,6.800000000000001
13186,279,6.899999999999999
116598,3967,8.999999999999996
78002,2916,8.399999999999999
66342,2562,3.900000000000002
73037,2622,3.1999999999999993
80435,3059,5.400000000000002
61113,2117,5.799999999999997
11098,233,7.800000000000004
102678,3703,5.0
71711,2807,5.699999999999999
61771,2457,10.200000000000003
70126,2589,10.100000000000001
77025,3043,9.2
60142,2046,10.399999999999999
