years,lcName,ptntCnt,DT,UNIT_NM,area,incidenceRate
2010,서울,816969,605958000,㎡,605958000㎡,0.001348
2010,부산,356809,943382552,㎡,943382552㎡,0.000378
2010,인천,233254,585334610,㎡,585334610㎡,0.000398
2010,대구,245955,798498469,㎡,798498469㎡,0.000308
2010,광주,124410,480108790,㎡,480108790㎡,0.000259
2010,대전,170188,494958998,㎡,494958998㎡,0.000344
2010,울산,120626,755429960,㎡,755429960㎡,0.00016
2010,경기,999278,3264237533,㎡,3264237533㎡,0.000306
2010,강원,186601,1009506443,㎡,1009506443㎡,0.000185
2010,충북,197200,713444373,㎡,713444373㎡,0.000276
2010,충남,319597,1041038260,㎡,1041038260㎡,0.000307
2010,전북,253285,891125281,㎡,891125281㎡,0.000284
2010,전남,267284,1747196695,㎡,1747196695㎡,0.000153
2010,경북,339589,1831356118,㎡,1831356118㎡,0.000185
2010,경남,402656,1877455242,㎡,1877455242㎡,0.000214
2010,제주,58230,453171778,㎡,453171778㎡,0.000128
2011,서울,790269,605958000,㎡,605958000㎡,0.001304
2011,부산,320850,942982553,㎡,942982553㎡,0.00034
2011,인천,224194,585318598,㎡,585318598㎡,0.000383
2011,대구,225548,798083296,㎡,798083296㎡,0.000283
2011,광주,125221,480053716,㎡,480053716㎡,0.000261
2011,대전,172343,494957058,㎡,494957058㎡,0.000348
2011,울산,122609,755424849,㎡,755424849㎡,0.000162
2011,경기,1001132,3330278692,㎡,3330278692㎡,0.000301
2011,강원,181047,1012011361,㎡,1012011361㎡,0.000179
2011,충북,188058,720428687,㎡,720428687㎡,0.000261
2011,충남,309032,1049638536,㎡,1049638536㎡,0.000294
2011,전북,241502,889988898,㎡,889988898㎡,0.000271
2011,전남,245609,1725763011,㎡,1725763011㎡,0.000142
2011,경북,331859,1834757408,㎡,1834757408㎡,0.000181
2011,경남,371334,1879998259,㎡,1879998259㎡,0.000198
2011,제주,51475,453171778,㎡,453171778㎡,0.000114
2012,서울,825590,605958000,㎡,605958000㎡,0.001362
