wrttimeid,seq,regi,population_tot,population_man,population_female,houshol
2008,1,계,49540367,24822897,24717470,19005339
2008,2,서울,10200827,5061809,5139018,4097562
2008,3,부산,3564577,1773154,1791423,1311724
2008,4,대구,2492724,1246873,1245851,894969
2008,5,인천,2692696,1356473,1336223,1014755
2008,6,광주,1422702,705817,716885,513021
2008,7,대전,1480895,741611,739284,531682
2008,8,울산,1112407,572815,539592,389735
2008,9,경기,11292264,5690673,5601591,4284475
2008,10,강원,1508575,759282,749293,606950
2008,11,충북,1519587,765398,754189,587411
2008,12,충남,2018537,1020317,998220,812871
2008,13,전북,1855772,924770,931002,710550
2008,14,전남,1919000,958491,960509,773087
2008,15,경북,2673931,1343199,1330732,1058099
2008,16,경남,3225255,1622127,1603128,1203767
2008,17,제주,560618,280088,280530,214681
2009,1,계,49773145,24929939,24843206,19261292
2009,2,서울,10208302,5059269,5149033,4116660
2009,3,부산,3543030,1761202,1781828,1323771
2009,4,대구,2489781,1243878,1245903,906470
2009,5,인천,2710579,1364809,1345770,1026936
2009,6,광주,1433640,711091,722549,524093
2009,7,대전,1484180,743121,741059,538100
2009,8,울산,1114866,573607,541259,394364
2009,9,경기,11460610,5773569,5687041,4359467
2009,10,강원,1512870,761270,751600,617693
2009,11,충북,1527478,769968,757510,599204
2009,12,충남,2037582,1029725,1007857,827846
2009,13,전북,1854508,924480,930028,720993
2009,14,전남,1913004,955954,957050,783156
2009,15,경북,2669876,1340977,1328899,1073367
2009,16,경남,3250176,1635700,1614476,1231461
2009,17,제주,562663,281319,281344,217711
2010,1,계,50515666,25310385,25205281,19865179
2010,2,서울,10312545,5111259,5201286,4224181
2010,3,부산,3567910,1773170,1794740,1371346
2010,4,대구,2511676,1255245,1256431,934598
2010,5,인천,2758296,1390356,1367940,1059664
2010,6,광주,1454636,721780,732856,540875
2010,7,대전,1503664,753648,750016,555768
2010,8,울산,1126298,579071,547227,405501
2010,9,경기,11786622,5942454,5844168,4527282
2010,10,강원,1529818,769807,760011,639001
2010,11,충북,1549528,781301,768227,617431
2010,12,충남,2075514,1049363,1026151,854432
2010,13,전북,1868963,931481,937482,740650
2010,14,전남,1918485,958624,959861,799520
2010,15,경북,2689920,1351202,1338718,1101486
2010,16,경남,3290536,1656042,1634494,1268731
2010,17,제주,571255,285582,285673,224713
2011,1,계,50734284,25406934,25327350,20033142
2011,2,서울,10249679,5073899,5175780,4192752
2011,3,부산,3550963,1762848,1788115,1381257
2011,4,대구,2507271,1251577,1255694,940770
2011,5,인천,2801274,1410980,1390294,1077563
2011,6,광주,1463464,725606,737858,549105
2011,7,대전,1515603,759188,756415,566324
2011,8,울산,1135494,583825,551669,412561
2011,9,경기,11937415,6015357,5922058,4579405
2011,10,강원,1536448,773278,763170,648649
2011,11,충북,1562903,787981,774922,627006
2011,12,충남,2101284,1063012,1038272,868768
2011,13,전북,1874031,934002,940029,754479
2011,14,전남,1914339,956747,957592,805051
2011,15,경북,2699195,1355727,1343468,1114901
2011,16,경남,3308765,1664755,1644010,1286678
2011,17,제주,576156,288152,288004,227873
2012,1,계,50948272,25504060,25444212,20211770
2012,2,서울,10195318,5041336,5153982,4177970
2012,3,부산,3538484,1754479,1784005,1389526
2012,4,대구,2505644,1249320,1256324,948652
2012,5,인천,2843981,1431593,1412388,1097491
2012,6,광주,1469216,728406,740810,555538
2012,7,대전,1524583,763671,760912,575600
2012,8,울산,1147256,590424,556832,422177
2012,9,세종,113117,57633,55484,46592
2012,10,경기,12093299,6091035,6002264,4639665
2012,11,강원,1538630,774273,764357,655301
2012,12,충북,1565628,789286,776342,633166
2012,13,충남,2028777,1026812,1001965,842446
2012,14,전북,1873341,933386,939955,760189
2012,15,전남,1909618,954354,955264,808682
2012,16,경북,2698353,1355294,1343059,1125195
2012,17,경남,3319314,1670545,1648769,1301439
2012,18,제주,583713,292213,291500,232141
2013,1,계,51141463,25588336,25553127,20456588
2013,2,서울,10143645,5007869,5135776,4182351
2013,3,부산,3527635,1747000,1780635,1404663
2013,4,대구,2501588,1246071,1255517,960265
2013,5,인천,2879782,1448835,1430947,1118988
2013,6,광주,1472910,730216,742694,563599
2013,7,대전,1532811,767309,765502,584877
2013,8,울산,1156480,595319,561161,431595
2013,9,세종,122153,62205,59948,50045
2013,10,경기,12234630,6159193,6075437,4712324
2013,11,강원,1542263,776498,765765,664913
2013,12,충북,1572732,792862,779870,644062
2013,13,충남,2047631,1037421,1010210,857699
2013,14,전북,1872965,932894,940071,766699
2013,15,전남,1907172,952597,954575,815769
2013,16,경북,2699440,1355951,1343489,1139387
2013,17,경남,3333820,1678592,1655228,1320887
2013,18,제주,593806,297504,296302,238465
2014,1,계,51327916,25669296,25658620,20724094
2014,2,서울,10103233,4979768,5123465,4194176
2014,3,부산,3519401,1740417,1778984,1421648
2014,4,대구,2493264,1241119,1252145,970618
2014,5,인천,2902608,1459074,1443534,1136280
2014,6,광주,1475884,731339,744545,573043
2014,7,대전,1531809,766497,765312,592508
2014,8,울산,1166377,600904,565473,442250
2014,9,세종,156125,78862,77263,62807
2014,10,경기,12357830,6219813,6138017,4786718
2014,11,강원,1544442,778007,766435,673978
2014,12,충북,1578933,796141,782792,656321
2014,13,충남,2062273,1045892,1016381,871459
2014,14,전북,1871560,931536,940024,774562
2014,15,전남,1905780,951975,953805,823667
2014,16,경북,2700794,1356182,1344612,1153559
2014,17,경남,3350257,1687114,1663143,1343984
2014,18,제주,607346,304656,302690,246516
2015,1,계,51529338,25758186,25771152,21011152
2015,2,서울,10022181,4930943,5091238,4189948
2015,3,부산,3513777,1735570,1778207,1437818
2015,4,대구,2487829,1237291,1250538,982360
2015,5,인천,2925815,1469869,1455946,1154004
2015,6,광주,1472199,729662,742537,580427
2015,7,대전,1518775,759778,758997,597008
2015,8,울산,1173534,604889,568645,451688
2015,9,세종,210884,105752,105132,81806
2015,10,경기,12522606,6299812,6222794,4885012
2015,11,강원,1549507,781434,768073,685005
2015,12,충북,1583952,798896,785056,669503
2015,13,충남,2077649,1054439,1023210,885968
2015,14,전북,1869711,930255,939456,782986
2015,15,전남,1908996,953881,955115,833901
2015,16,경북,2702826,1357306,1345520,1169648
2015,17,경남,3364702,1694981,1669721,1367142
2015,18,제주,624395,313428,310967,256928
2016,1,계,51696216,25827594,25868622,21294009
2016,2,서울,9930616,4876789,5053827,4189839
2016,3,부산,3498529,1725607,1772922,1451270
2016,4,대구,2484557,1234169,1250388,994220
2016,5,인천,2943069,1477671,1465398,1171399
2016,6,광주,1469214,728137,741077,586464
2016,7,대전,1514370,757289,757081,606137
2016,8,울산,1172304,603797,568507,455352
2016,9,세종,243048,121505,121543,94343
2016,10,경기,12716780,6395453,6321327,5003406
2016,11,강원,1550806,781146,769660,692254
2016,12,충북,1591625,803240,788385,680960
2016,13,충남,2096727,1064765,1031962,902294
2016,14,전북,1864791,927505,937286,790084
2016,15,전남,1903914,951889,952025,842688
2016,16,경북,2700398,1356868,1343530,1180643
2016,17,경남,3373871,1699219,1674652,1385684
2016,18,제주,641597,322545,319052,266972
2017,1,계,51778544,25855919,25922625,21632851
2017,2,서울,9857426,4830206,5027220,4220082
2017,3,부산,3470653,1709508,1761145,1467555
2017,4,대구,2475231,1227814,1247417,1006753
2017,5,인천,2948542,1479597,1468945,1188917
2017,6,광주,1463770,725295,738475,592818
2017,7,대전,1502227,750969,751258,614639
2017,8,울산,1165132,599480,565652,458547
2017,9,세종,280100,139734,140366,109490
2017,10,경기,12873895,6475323,6398572,5131379
2017,11,강원,1550142,780635,769507,700265
2017,12,충북,1594432,805091,789341,692140
2017,13,충남,2116770,1076270,1040500,923499
2017,14,전북,1854607,922307,932300,797916
2017,15,전남,1896424,948290,948134,851376
2017,16,경북,2691706,1353164,1338542,1193261
2017,17,경남,3380404,1701413,1678991,1406011
2017,18,제주,657083,330823,326260,278203
2018,1,계,51826059,25866129,25959930,22042947
2018,2,서울,9765623,4773899,4991724,4263868
2018,3,부산,3441453,1692421,1749032,1480468
2018,4,대구,2461769,1219342,1242427,1021266
2018,5,인천,2954642,1481844,1472798,1213201
2018,6,광주,1459336,722581,736755,603107
2018,7,대전,1489936,744338,745598,624965
2018,8,울산,1155623,593819,561804,461756
2018,9,세종,314126,156831,157295,123762
2018,10,경기,13077153,6577501,6499652,5306214
2018,11,강원,1543052,776456,766596,707245
2018,12,충북,1599252,808971,790281,707220
2018,13,충남,2126282,1082009,1044273,943611
2018,14,전북,1836832,913297,923535,806235
2018,15,전남,1882970,943000,939970,860303
2018,16,경북,2676831,1346689,1330142,1207351
2018,17,경남,3373988,1697412,1676576,1425271
2018,18,제주,667191,335719,331472,287104
2019,1,계,51849861,25864816,25985045,22481466
2019,2,서울,9729107,4744059,4985048,4327605
2019,3,부산,3413841,1675417,1738424,1497908
2019,4,대구,2438031,1205286,1232745,1031251
2019,5,인천,2957026,1482249,1474777,1238641
2019,6,광주,1456468,720740,735728,616485
2019,7,대전,1474870,736607,738263,635343
2019,8,울산,1148019,589712,558307,468659
2019,9,세종,340575,169845,170730,135408
2019,10,경기,13239666,6659995,6579671,5468920
2019,11,강원,1541502,775386,766116,719524
2019,12,충북,1600007,810384,789623,722123
2019,13,충남,2123709,1081938,1041771,959255
2019,14,전북,1818917,904110,914807,816191
2019,15,전남,1868745,937674,931071,872628
2019,16,경북,2665836,1342037,1323799,1227548
2019,17,경남,3362553,1692032,1670521,1450822
2019,18,제주,670989,337345,333644,293155
2020,1,계,51829023,25841029,25987994,23093108
2020,2,서울,9668465,4701723,4966742,4417954
2020,3,부산,3391946,1661000,1730946,1530431
2020,4,대구,2418346,1193109,1225237,1056627
2020,5,인천,2942828,1473943,1468885,1267956
2020,6,광주,1450062,717348,732714,633582
2020,7,대전,1463882,730699,733183,652783
2020,8,울산,1136017,583708,552309,476893
2020,9,세종,355831,177568,178263,144275
2020,10,경기,13427014,6754469,6672545,5676401
2020,11,강원,1542840,776505,766335,736301
2020,12,충북,1600837,811591,789246,745644
2020,13,충남,2121029,1082634,1038395,983153
2020,14,전북,1804104,896874,907230,836660
2020,15,전남,1851549,930615,920934,893152
2020,16,경북,2639422,1329211,1310211,1254662
2020,17,경남,3340216,1681423,1658793,1484601
2020,18,제주,674635,338609,336026,302033
2021,1,계,51638809,25746684,25892125,23472895
2021,2,서울,9509458,4618040,4891418,4426007
2021,3,부산,3350380,1639044,1711336,1544663
2021,4,대구,2385412,1175632,1209780,1063893
2021,5,인천,2948375,1476373,1472002,1298647
2021,6,광주,1441611,713015,728596,645712
2021,7,대전,1452251,724626,727625,664417
2021,8,울산,1121592,576217,545375,482650
2021,9,세종,371895,185678,186217,153649
2021,10,경기,13565450,6827298,6738152,5841995
