C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ORG_ID,C1_OBJ_NM_ENG,lcName
소재지(시군구)별,17317258219,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2008,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17420225241,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2009,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17492203102,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2010,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17558814700,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2011,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17587130337,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2012,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17593378293,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2013,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17596849134,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2014,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17613681961,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2015,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17609522529,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2016,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17635879004,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2017,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17788926660,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2018,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17763339465,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2019,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17769135370,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2020,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17786546574,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2021,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17791754999,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2022,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,17589843385,15315HJG000,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2023,,Total,전국,㎡,101,By Administrative District,전국
소재지(시군구)별,605958000,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2008,,Seoul,서울특별시,㎡,101,By Administrative District,서울
소재지(시군구)별,605958000,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2009,,Seoul,서울특별시,㎡,101,By Administrative District,서울
소재지(시군구)별,605958000,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2010,,Seoul,서울특별시,㎡,101,By Administrative District,서울
소재지(시군구)별,605958000,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2011,,Seoul,서울특별시,㎡,101,By Administrative District,서울
소재지(시군구)별,605958000,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2012,,Seoul,서울특별시,㎡,101,By Administrative District,서울
소재지(시군구)별,605961477,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2013,,Seoul,서울특별시,㎡,101,By Administrative District,서울
소재지(시군구)별,606361456,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2014,,Seoul,서울특별시,㎡,101,By Administrative District,서울
소재지(시군구)별,605267992,15315HJG001,A,㎡,16315T2008_0012,DT_1YL21291E,도시지역면적,도시지역면적(시도/시/군/구),2015,,Seoul,서울특별시,㎡,101,By Administrative District,서울
