years,lcName,ptntCnt,rvdInsupBrdnAmt,rvdRpeTamtAmt,sickCd,sickNm,specCnt,vstDdcnt
2010,서울,816969,13759581,19748051,J00,급성 비인두염[감기],1592663,1621169
2010,부산,356809,6596977,9085011,J00,급성 비인두염[감기],734899,753451
2010,인천,233254,4129436,5566586,J00,급성 비인두염[감기],476815,487339
2010,대구,245955,4502307,6106182,J00,급성 비인두염[감기],498697,515986
2010,광주,124410,2034798,2856762,J00,급성 비인두염[감기],218574,241614
2010,대전,170188,3178420,4327283,J00,급성 비인두염[감기],356267,367125
2010,울산,120626,2140335,2928675,J00,급성 비인두염[감기],238710,249089
2010,경기,999278,17980752,24470721,J00,급성 비인두염[감기],2031000,2100735
2010,강원,186601,3116081,4074651,J00,급성 비인두염[감기],365964,386242
2010,충북,197200,3587025,4730694,J00,급성 비인두염[감기],401275,432491
2010,충남,319597,5818993,7601210,J00,급성 비인두염[감기],685386,727631
2010,전북,253285,4459369,5746288,J00,급성 비인두염[감기],521954,570867
2010,전남,267284,4698785,5955551,J00,급성 비인두염[감기],555567,620814
2010,경북,339589,6232803,8040034,J00,급성 비인두염[감기],717276,775674
2010,경남,402656,6903020,9142815,J00,급성 비인두염[감기],797501,869587
2010,제주,58230,1024353,1349256,J00,급성 비인두염[감기],121931,132140
2011,서울,790269,13685057,19161790,J00,급성 비인두염[감기],1589126,1615766
2011,부산,320850,5948698,8138981,J00,급성 비인두염[감기],649224,669910
2011,인천,224194,4014624,5407598,J00,급성 비인두염[감기],452870,463246
2011,대구,225548,4184699,5678781,J00,급성 비인두염[감기],448163,463033
2011,광주,125221,2215509,3080731,J00,급성 비인두염[감기],232941,257566
2011,대전,172343,3330653,4530835,J00,급성 비인두염[감기],360071,374727
2011,울산,122609,2286828,3099990,J00,급성 비인두염[감기],250256,260559
2011,경기,1001132,18609941,25091904,J00,급성 비인두염[감기],2072221,2139298
2011,강원,181047,3085323,4026980,J00,급성 비인두염[감기],350130,372316
2011,충북,188058,3454383,4534134,J00,급성 비인두염[감기],380529,410513
2011,충남,309032,5720292,7436739,J00,급성 비인두염[감기],657909,699636
2011,전북,241502,4488711,5746736,J00,급성 비인두염[감기],501148,548950
2011,전남,245609,4446048,5591814,J00,급성 비인두염[감기],508998,573659
